Tract,Average,nVoxels
AverageFA,0.400082,112889
GCC,0.645996,1834
BCC,0.618355,3173
SCC,0.735143,2311
FX,0.388291,222
CST-R,0.652354,76
CST-L,0.510307,91
ML-R,0.508769,65
ML-L,0.472195,67
ICP-R,0.344188,96
ICP-L,0.346167,52
SCP-R,0.46137,197
SCP-L,0.351959,161
CP-R,0.606026,571
CP-L,0.485407,528
ALIC-R,0.544709,791
ALIC-L,0.513918,719
PLIC-R,0.660658,892
PLIC-L,0.671762,883
RLIC-R,0.508202,770
RLIC-L,0.50695,726
ACR-R,0.491278,1560
ACR-L,0.437435,1569
SCR-R,0.4808,1416
SCR-L,0.474093,1362
PCR-R,0.474066,760
PCR-L,0.468722,677
PTR-R,0.553696,1009
PTR-L,0.489864,978
SS-R,0.509187,646
SS-L,0.50729,648
EC-R,0.417979,1451
EC-L,0.386543,1445
CGC-R,0.512071,287
CGC-L,0.528827,307
CGH-R,0.434272,261
CGH-L,0.31194,263
FX/ST-R,0.455426,310
FX/ST-L,0.452807,396
SLF-R,0.474312,1770
SLF-L,0.431442,1733
SFO-R,0.481245,98
SFO-L,0.443877,95
IFO-R,0.390477,48
IFO-L,0.385269,40
UNC-R,0.520961,74
UNC-L,0.50296,51
